rfpCode,invRef,partRef,invDate,invAmount,cnRef,cnDate,cnAmount,Issue
0001-0011-Sai Ltd,2,,04/02/2005,663.41,,,,inv
0009-0038-Sai Ltd,3,,25/02/2005,454.2278,,,,inv
0003-0018-Sai Ltd,4,,01/04/2005,1285.8141,,,,inv
0004-0019-Sai Ltd,5,,01/04/2005,2487.7708,,,,inv
0005-0024-Sai Ltd,6,,01/04/2005,559.0496,,,,inv
0006-0025-Sai Ltd,7,,01/04/2005,894.48,,,,inv
0010-0039-Sai Ltd,9,,01/04/2005,116.47,,,,inv
0011-0015-Sai Ltd,8,,01/04/2005,116.4687,,,,inv
0007-0001-Sai Ltd,13,,27/06/2005,1071.5118,,,,inv
0012-0020-Sai Ltd,11,,27/06/2005,465.8747,,,,inv
0013-0012-Sai Ltd,12,,27/06/2005,349.406,,,,inv
0002-0017-Sai Ltd,16,,19/07/2005,4276.7296,,,,inv
0015-0029-Sai Ltd,15,,19/07/2005,955.0431,,,,inv
0022-0006-Sai Ltd,22,,08/08/2005,1681.8076,,,,inv
0019-0039-Sai Ltd,17,,09/08/2005,815.2807,,,,inv
0018-0027-Sai Ltd,19,,06/09/2005,1634.7775,,,,inv
0016-0037-Sai Ltd,20,,09/09/2005,452.5973,,,,inv
0020-0021-Sai Ltd,21,,16/09/2005,1281.1554,,,,inv
0024-0100-Sai Ltd,23,,24/10/2005,5922.129,,,,inv
0025-0048-Sai Ltd,22,,24/10/2005,582.34,,,,inv
0017-0028-Sai Ltd,25,,03/11/2005,698.812,,,,inv
0027-0061-Sai Ltd,24,,03/11/2005,582.3433,,,,inv
0030-0089-Sai Ltd,26,,03/11/2005,3959.9348,,,,inv
0036-0068-Sai Ltd,27,,18/11/2005,1316.6783,,,,inv
0034-0022-Sai Ltd,30,,24/11/2005,1048.218,,,,inv
0035-0023-Sai Ltd,28,,24/11/2005,582.3433,,,,inv
0038-0041-Sai Ltd,29,,24/11/2005,116.4687,,,,inv
0053-0078-Sai Ltd,31,,25/11/2005,582.3433,,,,inv
0032-0004-Sai Ltd,34,,30/11/2005,407.64,1000002,25/09/2007,407.64,inv/CN
0037-0068-Sai Ltd,32,,30/11/2005,197.4144,,,,inv
0042-0044-Sai Ltd,35,,30/11/2005,198,1000003,25/09/2007,197.99,inv/CN
0046-0053-Sai Ltd,33,,30/11/2005,582.3433,,,,inv
0048-0056-Sai Ltd,36,,02/12/2005,349.406,,,,inv
