projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
1,1,Mosta Apartment Block,  ,,,,Active,0.5,0.5,,
2,75,Ibragg Apartments,  ,,,,Active,,1,,
3,2,Ghaxaq Apartment Block,  ,,,,Active,0.5,0.5,,
4,52,Marsascala Apartments,  ,,,,Active,,1,,
5,235,Manwel Dimech Bridge Tender,  ,,,,Active,1,,,
6,76,Zurrieq Apartments,  ,,,,Active,,1,,
7,3,Naxxar Apartments,  ,,,,Active,,1,,
8,3,Balzan Apartment Block,  ,,,,Active,,1,,
9,77,Quisisana Apartment Block,  ,,,,Active,,1,,
10,236,Zejtun Terraced House,  ,,,,Active,0.5,0.5,,
11,73,Tarxien House of Character,  ,,,,Active,0.5,0.5,,
12,4,Zurrieq Apartment Block,  ,,,,Active,0.5,0.5,,
13,78,Zurrieq Residence Alterations,  ,,,,Active,0.5,0.5,,
14,5,St. Venera Shop Amendments,  ,,,,Active,1,,,
15,79,Marsascala Residence Extension,  ,,,,Active,0.5,0.5,,
16,6,Oiltanking Tank Field 4A,  ,,,,Active,,1,,
17,75,Tigne Apartment Block,  ,,,,Active,,1,,
18,75,St. Julians Apartment Alterations,  ,,,,Active,,1,,
19,75,Sliema Apartment Block,  ,,,,Active,,1,,
20,7,Zurrieq Apartment Block,  ,,,,Active,0.5,0.5,,
21,80,Portomaso Tower Antenna Alterations,  ,,,,Active,,1,,
22,8,Zejtun Pjazza Commercial,  ,,,,Active,0.5,0.5,,
23,8,Zejtun Offices,  ,,,,Active,0.5,0.5,,
24,75,Paceville Site,  ,,,,Active,,1,,
25,75,Sliema Site,  ,,,,Active,,1,,
26,67,Paola School Lift,  ,,,,Active,,1,,
27,81,Bulebel Factory Alterations,  ,,,,Active,,1,,
28,9,St. Paul's Bay Apartments,  ,,,,Active,0.5,0.5,,
29,82,Zurrieq Terraced Houses,  ,,,,Active,0.5,0.5,,
30,2,Balzan House of Character,  ,,,,Active,0.5,0.5,,
31,83,Zejtun House of Character Alterations,  ,,,,Active,0.5,0.5,,
32,10,Zejtun House of Character,  ,,,,Active,0.5,0.5,,
33,11,St. Paul's Bay Apartment Block,  ,,,,Active,0.5,0.5,,
34,12,Zejtun Apartment Block,  ,,,,Active,0.5,0.5,,
35,84,Abbattoir Incinerator,  ,,,,Active,,1,,
36,76,Qawra Apartment Block,  ,,,,Active,,1,,
37,13,St. Julians Flat,  ,,,,Active,1,,,
38,160,Floriana 51 Triq ilMiratur,  ,,,,Active,1,,,
39,159,Attard Mount Carmel Hospital,  ,,,,Active,,1,,
40,14,ITS Qala,  ,,,,Active,0.25,0.25,0.25,0.25
41,8,Marsaxlokk Reservoir,  ,,,,Active,1,,,
42,235,MMA Port Services,  ,,,,Active,,1,,
43,237,Zabbar Residence Sanction,  ,,,,Active,1,,,
44,52,Zabbar Apartment Block,  ,,,,Active,,1,,
45,85,Tarxien House of Character,  ,,,,Active,1,,,
46,52,Zabbar Residence Alterations,  ,,,,Active,,1,,
47,86,Siggiewi Residence,  ,,,,Active,1,,,
48,15,Zejtun Apartment Block,  ,,,,Active,0.5,0.5,,
49,87,Qormi Residence Alterations,  ,,,,Active,0.5,0.5,,
50,88,Kirkop Residence Extension,  ,,,,Active,0.5,0.5,,
51,16,Zejtun Apartment Block,  ,,,,Active,0.5,0.5,,
52,89,Zabbar Site,  ,,,,Active,0.5,0.5,,
53,17,Zejtun Residence,  ,,,,Active,0.5,0.5,,
54,47,Birzebugia Penthouse Sanction,  ,,,,Active,1,,,
55,90,Kalkara Residence,  ,,,,Active,1,,,
56,91,Zejtun House of Character,  ,,,,Active,0.5,0.5,,
57,19,Zejtun Apartment Block,  ,,,,Active,0.5,0.5,,
58,158,Mosta Site,  ,,,,Active,0.5,0.5,,
59,20,Naxxar SemiDetached Maisonettes,  ,,,,Active,0.5,0.5,,
60,238,Zejtun Residence Survey,  ,,,,Active,1,,,
61,21,Zejtun Apartment Block,  ,,,,Active,0.5,0.5,,
62,92,Zejtun House of Character,  ,,,,Active,0.5,0.5,,
63,162,Gudja Residence,  ,,,,Active,0.5,0.5,,
64,2,Marsascala Apartment Block,  ,,,,Active,0.5,0.5,,
65,135,Kalkara site,  ,,,,Active,1,,,
67,16,Zejtun Apartment Block,  ,,,,Active,0.5,0.5,,
68,37,Gzira Apartment Block,  ,,,,Active,,1,,
