employeeNumber,effectiveDate,baseSalary,govtBonus,bonus,niEmployerAmount,otherContributions,billableHoursTarget,productivityPercent,billablePercent,niRateType,allocateOverheads
1,38718,28225,512,0,1620.68,0,0,1,0.9,0,YES
1,38808,34940.53,512,0,1620.68,0,0,1,0.9,0,YES
1,39083,35152.5,512,0,1641.27,0,0,1,0.9,0,YES
2,38718,20072.12,512,0,1620.68,0,0,1,0.95,0,YES
2,39083,20284.28,512,0,1641.28,0,0,1,0.95,0,YES
3,38808,34940.6,512,0,1620.68,0,0,1,0.9,0,YES
3,39083,35152.48,512,0,1641.28,0,0,1,0.9,0,YES
4,38838,20052.28,512,0,1620.68,0,0,1,0.95,0,YES
4,38869,20964.36,512,0,1620.68,0,0,1,0.95,0,YES
4,39083,20964.36,512,0,1620.68,0,0,1,0.95,0,YES
4,39356,22128.86,512,0,1641.28,0,0,1,1,0,YES
5,38838,17470.3,512,0,1620.68,0,0,1,0.95,0,YES
5,39083,18635.08,512,0,1641.68,0,0,1,0.95,0,YES
5,39264,19800,512,0,1641.68,0,0,1,0.95,0,YES
8,39114,20964.64,512,0,1641.28,0,0,1,0.95,0,YES
8,39295,22128.86,512,0,1641.28,0,0,1,0.95,0,YES
9,39114,20964.64,512,0,1641.28,0,0,1,0.95,0,YES
9,39295,22128.86,512,0,1641.28,0,0,1,0.95,0,YES
10,39173,34940.6,512,0,1641.28,0,0,1,0.95,0,YES
14,39203,41928.72,512,0,1641.28,0,0,1,1,0,YES
6,38899,20964.64,512,0,1641.28,0,0,1,0.95,0,YES
11,39356,2180.29,115.2,0,578.86,0,0,0.225,0,0,NO
1,39448,41929.2,512,0,1660.88,0,0,1,0.9,0,YES
1,39814,58446.48,512,0,1681.16,0,0,1,0.9,0,YES
1,40179,45829.56,512,0,1711.32,0,0,1,0.9,0,YES
2,39448,20466.12,512,0,1660.88,0,0,1,0.95,0,YES
2,39814,20678.28,512,0,1681.16,0,0,1,0.95,0,YES
2,40179,20980.92,512,0,1711.32,0,0,1,0.95,0,YES
3,39448,41929.2,512,0,1660.88,0,0,1,0.9,0,YES
3,39814,58446.48,512,0,1681.16,0,0,1,0.9,0,YES
3,40179,71629.92,512,0,1711.32,0,0,1,0.9,0,YES
5,39448,20964.36,512,0,1660.88,0,0,1,0.95,0,YES
5,39630,22128.96,512,0,1660.88,0,0,1,0.95,0,YES
5,39814,22341.12,512,0,1681.16,0,0,1,0.95,0,YES
5,39873,24670.56,512,0,1681.16,0,0,1,0.95,0,YES
5,40179,30279.48,512,0,1711.32,0,0,1,0.95,0,YES
8,39448,22310.64,512,0,1660.88,0,0,1,0.95,0,YES
8,39814,22522.8,512,0,1681.16,0,0,1,0.95,0,YES
8,39873,24852.24,512,0,1681.16,0,0,1,0.95,0,YES
8,40179,25154.88,512,0,1711.32,0,0,1,0.95,0,YES
8,40452,36400,512,0,1711.32,0,0,1,0.95,0,YES
9,39448,22310.64,512,0,1660.88,0,0,1,0.95,0,YES
9,39814,22522.8,512,0,1681.16,0,0,1,0.95,0,YES
9,40057,25623.48,512,0,1681.16,0,0,1,0.95,0,YES
9,40179,25623.48,512,0,1711.32,0,0,1,0.95,0,YES
14,39448,42110.12,512,0,1660.88,0,0,1,1,0,YES
14,39539,43093.44,512,0,1660.88,0,0,1,1,0,YES
14,39814,43305.6,512,0,1681.16,0,0,1,1,0,YES
14,39904,44470.44,512,0,1681.16,0,0,1,1,0,YES
14,40179,44773.08,512,0,1711.32,0,0,1,1,0,YES
14,40269,45422.04,512,0,1711.32,0,0,1,1,0,YES
6,39448,21146.88,512,0,1660.88,0,0,1,0.95,0,YES
6,39814,21359.04,512,0,1681.16,0,0,1,0.95,0,YES
6,39873,23688.48,512,0,1681.16,0,0,1,0.95,0,YES
6,40179,30279.48,512,0,1711.32,0,0,1,0.95,0,YES
10,39448,35122.92,512,0,1660.88,0,0,1,0.95,0,YES
10,39814,40976.52,512,0,1681.16,0,0,1,0.95,0,YES
10,40179,55400,512,0,1711.32,0,0,1,0.95,0,YES
10,40238,55400,512,0,1711.32,0,0,1,0.95,0,YES
4,39448,22310.64,512,0,1660.88,0,0,1,1,0,YES
4,39814,22522.8,512,0,1681.16,0,0,1,1,0,YES
4,40179,22825.44,512,0,1711.32,0,0,1,1,0,YES
4,40483,22825.44,512,0,1711.32,0,0,1,1,0,YES
11,39448,2180.88,115.2,0,578.86,0,0,0.225,0,0,NO
15,39722,19800,512,0,1660.88,0,0,1,1,0,YES
15,39814,20012.16,512,0,1681.16,0,0,1,1,0,YES
15,40087,24458.4,512,0,1681.16,0,0,1,1,0,YES
15,40179,24458.4,512,0,1711.32,0,0,1,1,0,YES
12,39995,2714.4,512,0,271.44,0,0,1,0.95,0,YES
12,40087,2714.4,512,0,271.44,0,0,1,0.95,0,YES
13,39974,16500.12,512,0,1650,0,0,1,0,0,NO
13,40179,16802.76,512,0,1680,0,0,1,0,0,NO
13,40513,16802.76,512,0,1680,0,0,1,0,0,NO
7,39995,16300,512,0,1630,0,0,1,0.95,0,YES
7,40179,16602.6,512,0,1660,0,0,1,0.95,0,YES
7,40422,18649.8,512,0,1711.32,0,0,1,0.95,0,YES
17,40299,16300,512,0,1711.32,0,0,1,1,0,YES
16,40057,15150.24,512,0,1515,0,0,1,0.95,0,YES
16,40179,15452.88,512,0,1545,0,0,1,0.95,0,YES
18,40330,25000,512,0,1711.32,0,0,1,0.95,0,YES
22,40179,27960.36,0,0,0,0,0,0.125,0,0,NO
1,40544,45889.92,512,0,1840.28,0,0,1,0.9,0,YES
1,39814,45889.92,512,0,1840.28,0,0,1,0.6,0,YES
3,40544,71690.16,512,0,1840.28,0,0,1,0.9,0,YES
3,39814,71690.16,512,0,1840.28,0,0,1,0.6,0,YES
2,40544,21041.28,512,0,1840.28,0,0,1,1,0,YES
2,40634,23292.96,512,0,1840.28,0,0,1,1,0,YES
5,40544,33829,512,0,1840.28,0,0,1,1,0,YES
6,40544,30339.72,512,0,1840.28,0,0,1,0.95,0,YES
6,39814,30339.72,512,0,1840.28,0,0,1,0.8,0,YES
7,40544,20000,512,0,1840.28,0,0,1,0.95,0,YES
8,40544,36460.08,512,0,1840.28,0,0,1,0.95,0,YES
9,40544,25683.84,512,0,1840.28,0,0,1,0.95,0,YES
11,40544,2194.92,115.2,0,578.86,0,0,0.225,0,0,NO
14,40544,45482.28,512,0,1840.28,0,0,1,1,0,YES
14,40634,46587.48,512,0,1840.28,0,0,1,1,0,YES
16,40544,16013.16,512,0,1601,0,0,1,0.95,0,YES
18,40544,30000,512,0,1840.28,0,0,1,0.95,0,YES
17,40544,19779.72,512,0,1840.28,0,0,1,1,0,YES
19,40544,15600,256,0,1560,0,0,0.5,0,0,NO
20,40575,11450,512,0,1145,0,0,1,0,0,NO
18,40725,30000,512,0,1840.28,0,0,1,0.95,0,YES
12,40664,14560,512,0,1456,0,0,1,0.95,0,YES
12,40817,14560,512,0,1456,0,0,1,0.95,0,YES
15,40544,24518.52,512,0,1840.28,0,0,1,1,0,YES
11,39974,2194.92,115.2,0,578.86,0,0,0.225,1,0,NO
2,40848,23292.96,512,0,1840.28,0,0,1,1,0,YES
21,40823,16500,512,0,1650,0,0,1,0.95,0,YES
1,40939,46132.24,512,0,1968.2,0,0,1,0.9,0,YES
3,40939,71932.48,512,0,1968.2,0,0,1,0.9,0,YES
5,40939,34071.76,512,0,1968.2,0,0,1,1,0,YES
6,40939,30582.04,512,0,1968.2,0,0,1,0.95,0,YES
7,40939,20242.32,512,0,1968.2,0,0,1,0.95,0,YES
